sample_id,score
80,3.0
81,3.0
82,4.0
83,2.0
84,4.5
85,2.0
86,2.0
87,3.5
88,4.5
89,0.0
90,3.0
91,1.0
92,2.5
93,4.0
94,4.5
95,4.0
96,3.0
97,0.0
98,1.5
99,2.0
100,4.0
101,0.0
102,3.5
103,3.0
104,3.0
105,4.0
106,2.0
107,2.0
108,4.0
109,3.0
110,3.0
111,0.0
112,3.5
113,2.0
114,5.0
115,4.5
116,3.0
117,5.0
118,5.0
119,3.0
120,3.5
121,5.0
122,3.0
123,3.5
124,5.0
125,3.0
126,5.0
127,3.5
128,4.0
129,5.0
130,3.0
131,5.0
132,5.0
133,5.0
134,4.0
135,3.0
136,3.5
137,5.0
138,4.0
139,5.0
140,5.0
141,4.0
142,4.0
143,5.0
144,5.0
145,5.0
146,4.0
147,5.0
148,4.0
149,3.0
150,4.0
151,3.5
152,5.0
153,4.5
154,3.0
155,4.5
156,5.0
157,3.5
158,4.0
159,0.0
