sample_id,score
240,2.0
241,3.0
242,4.0
243,3.5
244,4.5
245,1.0
246,4.0
247,4.0
248,2.0
249,2.5
250,4.0
251,2.5
252,3.5
253,2.5
254,2.5
255,2.5
256,3.0
257,1.0
258,3.0
259,3.0
260,3.5
261,3.0
262,2.0
263,3.0
264,3.0
265,3.0
266,4.5
267,0.0
268,0.5
269,3.0
270,4.5
271,1.5
272,1.5
273,1.5
274,0.5
275,0.5
276,0.5
277,1.0
278,1.5
279,0.0
280,0.5
281,1.0
282,1.0
283,0.5
284,0.5
285,0.5
286,3.0
287,0.0
288,3.0
289,1.0
290,1.0
291,0.5
292,2.5
293,2.5
294,0.5
295,0.5
296,1.0
297,1.5
298,1.0
299,0.5
300,0.5
301,1.0
302,1.5
303,1.0
304,4.0
305,4.0
306,2.5
307,4.0
308,3.5
309,3.5
310,4.0
311,2.5
312,4.5
313,0.0
314,1.0
315,3.0
316,3.0
317,1.0
318,4.5
319,3.0
