sample_id,score
0,2.0
1,4.5
2,4.5
3,1.0
4,4.5
5,4.5
6,4.5
7,0.5
8,4.5
9,4.5
10,1.5
11,4.5
12,4.5
13,3.0
14,3.0
15,3.0
16,4.5
17,3.0
18,3.0
19,3.0
20,2.5
21,4.5
22,4.5
23,4.5
24,3.0
25,4.5
26,3.0
27,4.5
28,4.5
29,0.0
30,1.0
31,0.5
32,0.5
33,2.5
34,0.5
35,0.5
36,1.0
37,0.5
38,1.5
39,0.0
40,3.0
41,3.0
42,3.0
43,3.0
44,3.0
45,0.0
46,3.0
47,0.5
48,3.0
49,3.0
50,1.5
51,3.0
52,4.5
53,1.0
54,3.0
55,1.0
56,1.0
57,1.0
58,1.5
59,3.0
60,1.0
61,1.0
62,1.0
63,4.5
64,3.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,3.0
71,4.5
72,4.5
73,4.5
74,1.0
75,3.0
76,4.5
77,3.0
78,3.0
79,4.5
