id,human_score,cllm_score,c5_score,cllm_abs_error,c5_abs_error,c5_wins,matched_concepts,n_matched_concepts,chain_pct,solo,bloom
0,3.0,2.0,2.0,1.0,1.0,tie,,0,0%,Prestructural,Understand
1,3.0,5.0,4.5,2.0,1.5,1,,0,0%,Prestructural,Remember
2,5.0,4.5,4.5,0.5,0.5,tie,,0,0%,Prestructural,Remember
3,2.0,3.0,1.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
4,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
5,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
6,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
7,2.0,0.0,0.5,2.0,1.5,1,,0,0%,Prestructural,Remember
8,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
9,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
10,5.0,5.0,1.5,0.0,3.5,0,,0,0%,Prestructural,Remember
11,5.0,3.5,4.5,1.5,0.5,1,,0,0%,Prestructural,Remember
12,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
13,4.0,5.0,3.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
14,4.0,5.0,3.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
15,4.0,1.5,3.0,2.5,1.0,1,,0,0%,Prestructural,Remember
16,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
17,4.0,3.0,3.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
18,4.0,3.5,3.0,0.5,1.0,0,,0,0%,Prestructural,Remember
19,4.0,5.0,3.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
20,4.0,3.0,2.5,1.0,1.5,0,,0,0%,Prestructural,Remember
21,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
22,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
23,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
24,4.0,2.0,3.0,2.0,1.0,1,,0,0%,Prestructural,Remember
25,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
26,5.0,5.0,3.0,0.0,2.0,0,,0,0%,Prestructural,Remember
27,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
28,5.0,3.0,4.5,2.0,0.5,1,,0,0%,Prestructural,Remember
29,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
30,3.0,1.0,1.0,2.0,2.0,tie,,0,0%,Prestructural,Remember
31,1.0,0.0,0.5,1.0,0.5,1,,0,0%,Prestructural,Remember
32,1.0,0.0,0.5,1.0,0.5,1,,0,0%,Prestructural,Remember
33,4.0,5.0,2.5,1.0,1.5,0,,0,0%,Prestructural,Remember
34,1.0,1.0,0.5,0.0,0.5,0,,0,0%,Prestructural,Remember
35,0.0,0.5,0.5,0.5,0.5,tie,,0,0%,Prestructural,Remember
36,3.0,1.0,1.0,2.0,2.0,tie,,0,0%,Prestructural,Remember
37,0.0,2.0,0.5,2.0,0.5,1,,0,0%,Prestructural,Remember
38,2.0,1.0,1.5,1.0,0.5,1,,0,0%,Prestructural,Remember
39,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
40,2.0,5.0,3.0,3.0,1.0,1,,0,0%,Prestructural,Remember
41,3.0,5.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Remember
42,3.0,5.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Remember
43,3.0,5.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Remember
44,3.0,5.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Remember
45,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
46,3.0,3.0,3.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
47,3.0,1.5,0.5,1.5,2.5,0,,0,0%,Prestructural,Remember
48,3.0,5.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Remember
49,3.0,5.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Remember
50,2.0,1.0,1.5,1.0,0.5,1,,0,0%,Prestructural,Remember
51,3.0,5.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Remember
52,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
53,2.0,4.0,1.0,2.0,1.0,1,,0,0%,Prestructural,Remember
54,3.0,5.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Remember
