answer_words,chart_hovers,concept_alignment_hyper_p,concept_alignment_hyper_p_combined,condition,confidence,contradicts_interactions,dataset,datasets_visited,mean_grounding_density,mean_trace_gap_count,placebo_alignment_rate,rubric_edit_add,rubric_edit_decrease_weight,rubric_edit_increase_weight,rubric_edit_remove,rubric_edits,rubric_edits_click_to_add,rubric_edits_exact_aligned,rubric_edits_semantic_aligned,rubric_edits_semantic_aligned_cta,rubric_edits_semantic_aligned_manual,rubric_edits_within_15s,rubric_edits_within_30s,rubric_edits_within_60s,rubric_manual_edits,rubric_panel_before_trace,session_id,sus_completed,sus_score,tab_changes,task_completed,time_to_answer_s,total_session_s,trace_interactions,unique_charts
0,0,,,A,,0,digiklausur,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0b077b9f-64d1-4494-9d88-386027f4944c,False,,1,False,,0.0,0,0
0,0,,,B,,0,digiklausur,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156725e7-a79c-41c4-94fa-f4623919a09d,False,,1,False,,0.0,0,0
0,0,,,B,,0,digiklausur,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e05c723-09aa-4108-91f5-4623f45dd15d,False,,1,False,,0.1,0,0
0,1,,,B,,0,digiklausur,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42ceb957-6749-4a87-8b45-14b80404fd51,False,,1,False,,1.7,0,1
0,0,,,B,,0,digiklausur,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43b2808d-a1d2-4e6e-9726-4da1b5c93f1d,False,,1,False,,0.1,0,0
0,0,,,B,,0,digiklausur,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4bc1dee2-c43f-4dfc-82fa-6b32f0fbe8b8,False,,1,False,,0.0,0,0
0,0,,,A,,0,digiklausur,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64f29693-eeb6-401f-a258-594c7ff49b55,False,,1,False,,0.0,0,0
0,0,,,B,,0,digiklausur,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767e39c9-feb0-4fdd-a1b1-6013ce53744f,False,,1,False,,0.1,0,0
0,0,,,B,,0,digiklausur,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829628cb-0e07-4465-8257-8f96f192d84e,False,,1,False,,0.0,0,0
0,0,,,A,,0,digiklausur,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9dd6728b-7040-4934-9e47-0ebce583efb0,False,,1,False,,0.0,0,0
0,0,,,B,,0,digiklausur,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c661190e-59be-4d39-9c4a-19bc90551110,False,,1,False,,0.0,0,0
0,0,,,A,,0,digiklausur,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c97a14d0-9f37-4ac6-be07-dc302aafae53,False,,1,False,,7.9,0,0
0,1,,,B,,0,digiklausur,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e171a34e-5703-41f4-83bc-7ca09ff15ae5,False,,1,False,,2.1,0,1
0,0,,,B,,1,digiklausur,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e2e-test-001,False,,0,False,,0.0,1,0
4,0,,0.0667,B,4,1,digiklausur,1,0.0,0.0,,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,e2e-validation-test-001,False,,1,True,52.0,90.0,1,0
0,0,,,B,,0,digiklausur,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e820e749-ac26-439e-958c-3f429dd7044b,False,,1,False,,0.1,0,0
0,0,,,A,,0,digiklausur,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff729739-4f0e-4b1e-af28-aae909f070cb,False,,1,False,,0.1,0,0
0,0,,,B,,0,mohler,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,test-001,False,,0,False,,0.0,0,0
